asic,workload,graph_name,engine_id,engine_name,role,status,correctness_match,applicable,error_message,skip_reason
gfx942,pytorch,backward_fp32_n8_c128_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c128_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c256_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,backward_fp32_n8_c64_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n128_c2048_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n128_c2048_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n128_c8192_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n128_c8192_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n1_c256_h3136_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n1_c256_h3136_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n2_c2048_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n2_c2048_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n2_c8192_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n2_c8192_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n3136_c256_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n3136_c256_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c128_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c256_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n32_c64_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c128_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c256_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,inference_fp32_n8_c64_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n128_c2048_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n128_c2048_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n128_c8192_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n128_c8192_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n1_c256_h3136_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n1_c256_h3136_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n2_c2048_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n2_c2048_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n2_c8192_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n2_c8192_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n3136_c256_h1_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n3136_c256_h1_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c128_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c256_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h56_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h56_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h56_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n32_c64_h56_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h1024_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h1024_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h256_w1,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h256_w1,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h28_w28,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h28_w28,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h28_w56,1563989756945604898,MIOPEN_ENGINE,engine,success,,True,,
gfx942,pytorch,training_fp32_n8_c128_h28_w56,-2478880896520848391,HIP_MLOPS_ENGINE,engine,success,,True,,
